id,author,title,journal_book,year,type,doi,link,
1,"Adhurya, S., Adhurya, S., Roy, U.S.","Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India.",Indian BIRDS,2019,journal,NA, https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,
1,"Adhurya, S., Adhurya, S., Roy, S., Roy, U.S.","Report on range extension of eight lesser known avian species from Durgapur Ecoregion, West Bengal, India",Annals of Experimental Biology,2015,journal,NA,https://www.scholarsresearchlibrary.com/archive/aeb-volume-3-issue-4-year-2015.html ,
1,"Adhurya, S., Bhandary, S.","Report of five interesting avian species from Durgapur ecoregion, West Bengal, India by citizen science effort",Journal of Threatened Taxa,2019,journal,10.11609/jott.3980.11.12.14496-14502 ,https://doi.org/10.11609/jott.3980.11.12.14496-14502 ,
1,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
2,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
2,"Makwana, V.M., Khatsuriya, P.A., Matli, A.G., Dodia, P.P.",Composition and Conservation Status of Avifauna in Urban Non-protected Important Bird Area (IBA) Site of Western India.,Journal of Tropical Biodiversity and Biotechnology,2024,journal,10.22146/jtbb.87311,https://doi.org/10.22146/jtbb.87311,
2,"Rashid, G.M., Butt, A., Qadir, A., Ali, M.H.","Avian assemblage along an urban gradient: Diversity, abundance and richness",Ornis Hungarica,2020,journal,10.2478/orhu-2020-0004,https://doi.org/10.2478/orhu-2020-0004,
2,"Jackson, J.D.U., Zefania, S., Moehy, S., Bamford, A.J., Bruford, M.W., Székely, T.","Ecology, conservation, and phylogenetic position of the Madagascar Jacana <i>Actophilornis albinucha</i>",Ostrich,2019,journal,10.2989/00306525.2019.1662508,https://doi.org/10.2989/00306525.2019.1662508,
2,"Gayen, D., Mukherjee, B., Sarkar, S., Goswami, B., Adhurya, S., Chakraborty, M.","Study of winter avifaunal diversity from a man-made reservoir in the West Bengal, India",Journal of Animal Diversity,2022,journal,10.52547/JAD.2022.4.1.7,https://doi.org/10.52547/JAD.2022.4.1.7,
2,"Rather, H.A., Gautam, V.","A study of winter avifaunal diversity in Upper Lake, in the City of Bhopal, Madhya Pradesh, India",Journal of Animal Diversity,2023,journal,10.22034/JAD.2023.5.4.5,https://doi.org/10.22034/JAD.2023.5.4.5,
2,"Ashaharraza, K., Patnaik, A.","Predation by a Black-headed Ibis, Threskiornis melanocephalus (Latham 1790), on a common smooth-scaled Watersnake, Enhydris enhydris (Schneider 1799).",Reptiles & Amphibians,2018,journal,10.17161/randa.v25i3.14295,https://doi.org/10.17161/randa.v25i3.14295,
2,"Mal, J., Keshri, J.P.","Phytoplankton Diversity of Mangalajodi Bird Sanctuary, Odisha",Nelumbo,2023,journal,10.20324/nelumbo/v65/2023/172682,https://doi.org/10.20324/nelumbo/v65/2023/172682,
2,"Choudhary, A., Sinha, S.K., Singh, R.K.","Exploring the birds of Barnawapara Wildlife Sanctuary, Balodabazar district, Chhattisgarh",World Journal of Pharmacy and Pharmaceutical Sciences,2018,journal,10.20959/wjpps20186-11860,https://doi.org/10.20959/wjpps20186-11860,
2,"Devi, G., Sahu, H.K.","A study on anatid population diversity at Mangalajodi and its surrounding marshlands of Chilika Lake, Odisha",International Journal of Creative Research Thoughts (IJCRT),2025,journal,NA,https://ijcrt.org/papers/IJCRT2507811.pdf,
3,"Adhurya, S., Gayen, D., Chakrabarty, M., Roy, U.S.","A study of avian diversity in Durgapur Government College Campus, West Bengal, India",The Holistic Approach to Environment,2023,journal,10.33765/thate.13.2.2,https://doi.org/10.33765/thate.13.2.2,
3,"Samanta, S., Das, D., Mandal, S.","Diversity, status and guild structure of the avifauna in the Ajodhya Foothills, Baghmundi, Purulia, West Bengal, India",Tropical Ecology,2023,journal,10.1007/s42965-022-00265-7,https://doi.org/10.1007/s42965-022-00265-7,
3,"Adhurya, S., Adhurya, S., Roy, U.S.","Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India.",Indian BIRDS,2019,journal,NA, https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,
