id,year,title,authors,journal,volume,pages,doi,link,type,category,keywords
1,2015,"First Record of Common Babbler Turdoides caudata (Timaliidae) from Burdwan District, West Bengal and Range Extension to Eastern India","Nayak, A.K., Adhurya, S., Roy, U.S.",Zoo's Print,30,Dec-13,,https://zoosprint.org/index.php/zp/article/view/770 ,Short Communication,Biodiversity,"Common Babbler, first record, Burdwan District, range extension"
2,2015,"A Report on Midwinter Bird Diversity from Mangalajodi Wetland, Odisha","Changder, S., Adhurya, S., Roy, U.S., Banerjee, M.",Zoo's Print,30,01-May,,https://zoosprint.org/index.php/zp/article/view/832 ,Short Communication,Biodiversity,"midwinter birds, Mangalajodi Wetland, Odisha"
3,2015,"Report on range extension of eight lesser known avian species from Durgapur Ecoregion, West Bengal, India","Adhurya, S., Adhurya, S., Roy, S., Roy., U. S.",Annals of Experimental Biology,3,01-Jun,,https://www.scholarsresearchlibrary.com/archive/aeb-volume-3-issue-4-year-2015.html ,Research Article,Biodiversity,"range extension, avian species, Durgapur, West Bengal"
4,2016,"Early winter avifaunal diversity from Buxa Tiger Reserve and Rasikbeel Wetland Complex of northern part of West Bengal, India","Adhurya, S., Banerjee, M., Pal, A. K., Roy, U. S.",Our Nature,14,39-46,10.3126/on.v14i1.16439,https://doi.org/10.3126/on.v14i1.16439,Research Article,Biodiversity,"winter avifauna, Buxa Tiger Reserve, Rasikbeel Wetland"
5,2017,A report of the Dollarbird Eurystomus orientalis from southern West Bengal,"Maulick, R., Adhurya, S.",Indian BIRDS,13,84,,https://indianbirds.in/pdfs/IB_13_3_LetterEditor.pdf ,Short Communication,Biodiversity,"Dollarbird, Eurystomus orientalis, southern West Bengal"
6,2019,"Rapid degradation of wetlands and its impact on avifauna: A case study from Ambuja Wetland, West Bengal, India","Adhurya, S., Adhurya, S., Roy, U. S.",Indian BIRDS,15,43-48,,https://indianbirds.in/pdfs/IB_15_2_AdhuryaETAL_AmbujaWetland.pdf,Research Article,Biodiversity,"wetland degradation, avifauna, Ambuja Wetland, West Bengal"
7,2019,"Report of five interesting avian species from Durgapur ecoregion, West Bengal, India by citizen science effort","Adhurya, S., Bhandary, S.",Journal of Threatened Taxa,11,14496-14502,10.11609/jott.3980.11.12.14496-14502,https://doi.org/10.11609/jott.3980.11.12.14496-14502,Short Communication,Biodiversity,"avian species, Durgapur, citizen science, West Bengal"
8,2020,Overview of Ecological Economics and Ecosystem Services Consequences from Shrimp Culture,"Das, S., Adhurya, S., Ray, S.",Mathematical Analysis and Applications in Modeling. ICMAAM 2018,302,,10.1007/978-981-15-0422-8_20,https://doi.org/10.1007/978-981-15-0422-8_20,Book Chapter,Ecological Economics,"ecological economics, ecosystem services, shrimp culture"
9,2020,Guanotrophication by Waterbirds in Freshwater Lakes: A Review on Ecosystem Perspective,"Adhurya, S., Das, S., Ray, S.",Mathematical Analysis and Applications in Modeling. ICMAAM 2018,302,,10.1007/978-981-15-0422-8_22,https://doi.org/10.1007/978-981-15-0422-8_22,Book Chapter,Guanotrophy & Nutrient loading,"guanotrophication, waterbirds, freshwater lakes, ecosystem perspective"
10,2020,Modelling the effect of incubation and latent periods on the dynamics of vector-borne plant viral diseases,"Al Basir, F., Adhurya, S., Banerjee, M., Venturino, E., Ray, S.",Bulletin of Mathematical Biology,82,94,10.1007/s11538-020-00767-2,https://doi.org/10.1007/s11538-020-00767-2,Research Article,Ecological Modelling,"vector-borne diseases, plant viral diseases, incubation period, mathematical modeling"
